时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-12-08 09:30:00,0.0,114.21,114.21,114.21,1907,21782588.0,114.21
2025-12-08 09:31:00,0.0,115.0,115.6,114.18,5560,63824563.0,114.641
2025-12-08 09:32:00,0.0,114.77,115.1,114.54,5120,58832375.0,114.749
2025-12-08 09:33:00,0.0,115.07,115.31,114.58,7124,81998482.0,114.876
2025-12-08 09:34:00,0.0,115.39,115.45,115.07,4972,57296988.0,114.949
2025-12-08 09:35:00,0.0,115.4,115.47,115.31,4100,47313165.0,115.012
2025-12-08 09:36:00,0.0,115.81,115.86,115.43,6247,72271042.0,115.133
2025-12-08 09:37:00,0.0,115.72,115.95,115.72,5554,64324450.0,115.227
2025-12-08 09:38:00,0.0,115.46,115.72,115.46,3124,36104158.0,115.252
2025-12-08 09:39:00,0.0,115.79,115.79,115.44,3126,36142895.0,115.277
2025-12-08 09:40:00,0.0,115.75,115.81,115.73,3213,37197311.0,115.309
2025-12-08 09:41:00,0.0,116.16,116.16,115.78,8210,95191004.0,115.399
2025-12-08 09:42:00,0.0,116.11,116.39,116.11,7349,85458504.0,115.497
2025-12-08 09:43:00,0.0,116.27,116.27,116.1,3809,44245789.0,115.533
2025-12-08 09:44:00,0.0,116.27,116.3,116.21,3739,43467318.0,115.57
2025-12-08 09:45:00,0.0,116.31,116.35,116.2,6781,78840622.0,115.629
2025-12-08 09:46:00,0.0,116.24,116.51,116.18,7440,86571022.0,115.691
2025-12-08 09:47:00,0.0,115.89,116.25,115.8,4500,52216282.0,115.708
2025-12-08 09:48:00,0.0,115.8,116.0,115.8,2900,33612221.0,115.714
2025-12-08 09:49:00,0.0,115.68,115.81,115.68,3634,42066083.0,115.715
2025-12-08 09:50:00,0.0,115.71,115.75,115.57,2924,33817534.0,115.714
2025-12-08 09:51:00,0.0,116.09,116.09,115.74,3117,36117642.0,115.718
2025-12-08 09:52:00,0.0,116.22,116.22,116.08,2331,27078752.0,115.728
2025-12-08 09:53:00,0.0,116.0,116.23,115.98,2307,26777875.0,115.735
2025-12-08 09:54:00,0.0,116.08,116.1,115.93,1627,18881531.0,115.739
2025-12-08 09:55:00,0.0,116.23,116.23,115.97,3899,45272560.0,115.752
2025-12-08 09:56:00,0.0,116.46,116.46,116.17,3766,43798605.0,115.769
2025-12-08 09:57:00,0.0,116.51,116.52,116.4,6250,72802310.0,115.805
2025-12-08 09:58:00,0.0,116.19,116.53,116.12,2182,25389835.0,115.814
2025-12-08 09:59:00,0.0,116.49,116.6,116.25,6196,72184134.0,115.846
2025-12-08 10:00:00,0.0,116.38,116.51,116.38,2156,25103243.0,115.856
2025-12-08 10:01:00,0.0,116.1,116.32,116.02,1852,21511487.0,115.86
2025-12-08 10:02:00,0.0,116.0,116.06,115.88,3508,40674941.0,115.862
2025-12-08 10:03:00,0.0,116.03,116.06,115.93,1469,17044280.0,115.864
2025-12-08 10:04:00,0.0,116.3,116.3,116.06,1409,16382690.0,115.867
2025-12-08 10:05:00,0.0,116.39,116.39,116.21,1639,19056501.0,115.872
2025-12-08 10:06:00,0.0,116.46,116.46,116.33,1982,23071939.0,115.879
2025-12-08 10:07:00,0.0,116.65,116.65,116.48,4175,48667423.0,115.898
2025-12-08 10:08:00,0.0,116.72,116.8,116.63,4884,56992719.0,115.922
2025-12-08 10:09:00,0.0,116.89,116.89,116.81,4700,54914182.0,115.949
2025-12-08 10:10:00,0.0,117.04,117.07,116.93,7891,92308490.0,115.998
2025-12-08 10:11:00,0.0,116.9,117.1,116.9,4940,57778064.0,116.025
2025-12-08 10:12:00,0.0,117.06,117.1,116.91,4096,47939830.0,116.049
2025-12-08 10:13:00,0.0,117.0,117.1,117.0,3535,41375221.0,116.068
2025-12-08 10:14:00,0.0,117.46,117.5,117.02,4714,55268682.0,116.097
2025-12-08 10:15:00,0.0,117.2,117.42,117.2,6205,72818508.0,116.138
2025-12-08 10:16:00,0.0,117.42,117.49,117.15,4219,49503179.0,116.163
2025-12-08 10:17:00,0.0,117.29,117.45,117.19,4119,48345329.0,116.188
2025-12-08 10:18:00,0.0,117.4,117.4,117.24,2740,32140720.0,116.203
2025-12-08 10:19:00,0.0,117.78,117.78,117.43,5998,70514402.0,116.243
2025-12-08 10:20:00,0.0,117.99,118.0,117.79,7331,86461865.0,116.3
2025-12-08 10:21:00,0.0,117.8,117.93,117.76,3948,46525539.0,116.328
2025-12-08 10:22:00,0.0,117.56,117.77,117.52,3045,35816636.0,116.345
2025-12-08 10:23:00,0.0,117.61,117.71,117.4,2656,31229929.0,116.36
2025-12-08 10:24:00,0.0,117.61,117.61,117.55,2958,34783070.0,116.376
2025-12-08 10:25:00,0.0,117.44,117.61,117.44,2215,26040956.0,116.387
2025-12-08 10:26:00,0.0,117.41,117.41,117.32,2483,29134082.0,116.398
2025-12-08 10:27:00,0.0,117.63,117.7,117.42,2978,35022782.0,116.413
2025-12-08 10:28:00,0.0,117.09,117.62,117.09,2417,28350792.0,116.422
2025-12-08 10:29:00,0.0,117.09,117.09,117.01,2512,29408128.0,116.428
2025-12-08 10:30:00,0.0,116.9,117.08,116.9,2246,26275349.0,116.434
2025-12-08 10:31:00,0.0,117.09,117.1,116.95,2481,29028557.0,116.439
2025-12-08 10:32:00,0.0,117.0,117.21,116.99,2698,31594603.0,116.446
2025-12-08 10:33:00,0.0,116.94,117.08,116.93,1379,16137578.0,116.449
2025-12-08 10:34:00,0.0,116.77,117.02,116.75,2969,34689256.0,116.454
2025-12-08 10:35:00,0.0,116.9,116.9,116.71,1010,11795095.0,116.455
2025-12-08 10:36:00,0.0,117.01,117.08,116.78,1744,20393605.0,116.459
2025-12-08 10:37:00,0.0,116.93,117.07,116.9,1572,18398800.0,116.462
2025-12-08 10:38:00,0.0,117.12,117.12,116.93,1679,19661394.0,116.466
2025-12-08 10:39:00,0.0,117.3,117.3,117.13,1871,21939228.0,116.472
2025-12-08 10:40:00,0.0,117.0,117.27,117.0,2078,24330863.0,116.477
2025-12-08 10:41:00,0.0,117.25,117.27,117.05,1280,15015299.0,116.481
2025-12-08 10:42:00,0.0,117.44,117.44,117.24,1019,11954871.0,116.484
2025-12-08 10:43:00,0.0,117.32,117.45,117.28,1440,16902053.0,116.489
2025-12-08 10:44:00,0.0,117.28,117.33,117.23,592,6946821.0,116.491
2025-12-08 10:45:00,0.0,117.41,117.41,117.29,1272,14928527.0,116.495
