日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,603610,10.84,11.02,11.05,10.71,46854,56349414.0,3.14,1.66,0.18,1.31
2024-01-03,603610,11.01,11.09,11.16,10.9,37795,45784549.0,2.36,0.64,0.07,1.05
2024-01-04,603610,11.09,11.37,11.39,11.01,68740,84914811.0,3.43,2.52,0.28,1.92
2024-01-05,603610,11.11,11.17,11.42,11.05,62387,76680999.0,3.25,-1.76,-0.2,1.74
2024-01-08,603610,11.27,11.25,11.46,10.97,84929,104736541.0,4.39,0.72,0.08,2.37
2024-01-09,603610,11.25,11.12,11.32,10.93,75919,92434681.0,3.47,-1.16,-0.13,2.12
2024-01-10,603610,10.98,10.96,11.11,10.73,50191,60296654.0,3.42,-1.44,-0.16,1.4
2024-01-11,603610,10.98,11.28,11.33,10.9,59431,73085543.0,3.92,2.92,0.32,1.66
2024-01-12,603610,11.22,11.13,11.33,11.07,43612,53582641.0,2.3,-1.33,-0.15,1.22
2024-01-15,603610,11.13,11.35,11.4,11.0,63145,78137706.0,3.59,1.98,0.22,1.76
2024-01-16,603610,11.54,11.29,11.54,11.11,72909,90235641.0,3.79,-0.53,-0.06,2.03
2024-01-17,603610,11.29,12.53,12.53,11.12,167520,222377432.0,12.49,10.98,1.24,4.67
2024-01-18,603610,12.7,12.28,13.35,11.84,376837,509179381.0,12.05,-2.0,-0.25,10.51
2024-01-19,603610,12.21,12.33,12.37,11.87,229500,302983945.0,4.07,0.41,0.05,6.4
2024-01-22,603610,11.97,11.07,12.03,10.99,226970,285387297.0,8.43,-10.22,-1.26,6.33
2024-01-23,603610,10.36,10.24,10.42,9.86,177439,198804415.0,5.06,-7.5,-0.83,4.95
2024-01-24,603610,10.17,10.77,11.15,10.12,179429,211889324.0,10.06,5.18,0.53,5.01
2024-01-25,603610,10.76,11.05,11.08,10.57,121710,145117517.0,4.74,2.6,0.28,3.4
2024-01-26,603610,11.04,11.04,11.53,10.92,89492,109768818.0,5.52,-0.09,-0.01,2.5
2024-01-29,603610,10.95,10.47,11.08,10.33,88458,103537984.0,6.79,-5.16,-0.57,2.47
2024-01-30,603610,10.45,10.12,10.49,9.96,68400,76985055.0,5.06,-3.34,-0.35,1.91
2024-01-31,603610,10.52,9.9,10.77,9.84,115235,130248986.0,9.19,-2.17,-0.22,3.21
2024-02-01,603610,9.81,9.71,10.16,9.32,114282,123621180.0,8.48,-1.92,-0.19,3.19
2024-02-02,603610,9.71,9.16,10.01,8.78,119903,125277797.0,12.67,-5.66,-0.55,3.34
2024-02-05,603610,8.92,8.14,8.93,8.14,96452,90322655.0,8.62,-11.14,-1.02,2.69
2024-02-06,603610,7.62,8.22,8.77,7.27,114308,102077935.0,18.43,0.98,0.08,3.19
2024-02-07,603610,8.22,7.81,8.24,7.61,93962,85009496.0,7.66,-4.99,-0.41,2.62
2024-02-08,603610,7.91,8.68,8.7,7.86,89988,84079257.0,10.76,11.14,0.87,2.51
2024-02-19,603610,8.74,9.02,9.19,8.66,89174,89213561.0,6.11,3.92,0.34,2.49
2024-02-20,603610,8.94,9.09,9.1,8.8,50069,50297634.0,3.33,0.78,0.07,1.4
2024-02-21,603610,9.03,9.2,9.5,8.94,68578,71277867.0,6.16,1.21,0.11,1.91
2024-02-22,603610,9.1,9.32,9.33,9.03,61204,62918285.0,3.26,1.3,0.12,1.71
2024-02-23,603610,9.3,9.52,9.56,9.23,55206,57781103.0,3.54,2.15,0.2,1.54
2024-02-26,603610,9.57,9.69,9.98,9.44,62530,67426039.0,5.67,1.79,0.17,1.74
2024-02-27,603610,9.63,9.93,9.94,9.53,46365,50545921.0,4.23,2.48,0.24,1.29
2024-02-28,603610,9.91,9.04,10.1,9.02,79415,84413511.0,10.88,-8.96,-0.89,2.22
2024-02-29,603610,9.0,9.35,9.38,8.95,54970,56784337.0,4.76,3.43,0.31,1.53
2024-03-01,603610,9.38,9.41,9.49,9.25,40909,42690754.0,2.57,0.64,0.06,1.14
2024-03-04,603610,9.42,9.35,9.49,9.12,39310,40719898.0,3.93,-0.64,-0.06,1.1
2024-03-05,603610,9.26,9.1,9.26,9.07,32889,33640047.0,2.03,-2.67,-0.25,0.92
2024-03-06,603610,9.05,9.19,9.29,9.01,27512,28152725.0,3.08,0.99,0.09,0.77
2024-03-07,603610,9.21,9.13,9.39,9.12,33375,34476569.0,2.94,-0.65,-0.06,0.93
