ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600121.SH,20240102,4.08,4.18,4.02,4.11,4.06,0.05,1.2315,4269.0,17.5
600121.SH,20240103,4.12,4.49,4.08,4.34,4.11,0.23,5.5961,8063.0,34.85
600121.SH,20240104,4.33,4.56,4.24,4.38,4.34,0.04,0.9217,8384.0,36.86
600121.SH,20240105,4.34,4.48,4.25,4.28,4.38,-0.1,-2.2831,5449.0,23.66
600121.SH,20240108,4.25,4.26,4.12,4.13,4.28,-0.15,-3.5047,3311.0,13.77
600121.SH,20240109,4.11,4.3,4.08,4.23,4.13,0.1,2.4213,3502.0,14.72
600121.SH,20240110,4.21,4.29,4.1,4.11,4.23,-0.12,-2.8369,3005.0,12.51
600121.SH,20240111,4.09,4.12,4.0,4.04,4.11,-0.07,-1.7032,3071.0,12.43
600121.SH,20240112,4.03,4.08,3.99,3.99,4.04,-0.05,-1.2376,2180.0,8.78
600121.SH,20240115,3.95,4.01,3.92,3.98,3.99,-0.01,-0.2506,1415.0,5.63
600121.SH,20240116,3.98,3.99,3.88,3.96,3.98,-0.02,-0.5025,1936.0,7.59
600121.SH,20240117,3.93,3.97,3.88,3.88,3.96,-0.08,-2.0202,1432.0,5.61
600121.SH,20240118,3.84,3.85,3.7,3.82,3.88,-0.06,-1.5464,2405.0,9.05
600121.SH,20240119,3.8,3.81,3.73,3.74,3.82,-0.08,-2.0942,1236.0,4.66
600121.SH,20240122,3.8,3.82,3.57,3.64,3.74,-0.1,-2.6738,2198.0,8.18
600121.SH,20240123,3.63,3.7,3.55,3.67,3.64,0.03,0.8242,1618.0,5.9
600121.SH,20240124,3.68,3.74,3.58,3.73,3.67,0.06,1.6349,1637.0,6.04
600121.SH,20240125,3.74,3.87,3.72,3.86,3.73,0.13,3.4853,2668.0,10.21
600121.SH,20240126,3.81,3.93,3.81,3.9,3.86,0.04,1.0363,1958.0,7.61
600121.SH,20240129,3.91,3.93,3.8,3.87,3.9,-0.03,-0.7692,1923.0,7.41
