ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001238.SZ,20240102,24.18,24.2,23.52,23.83,24.37,-0.54,-2.2158,461.0,10.95
001238.SZ,20240103,23.7,23.7,22.92,23.32,23.83,-0.51,-2.1402,266.0,6.19
001238.SZ,20240104,23.31,24.35,22.68,23.94,23.32,0.62,2.6587,444.0,10.5
001238.SZ,20240105,23.89,24.21,23.59,23.96,23.94,0.02,0.0835,419.0,10.03
001238.SZ,20240108,23.75,24.0,22.68,22.72,23.96,-1.24,-5.1753,346.0,8.08
001238.SZ,20240109,22.72,23.59,22.6,23.35,22.72,0.63,2.7729,324.0,7.47
001238.SZ,20240110,23.14,23.41,22.52,22.56,23.35,-0.79,-3.3833,270.0,6.17
001238.SZ,20240111,22.37,23.1,22.2,22.94,22.56,0.38,1.6844,243.0,5.53
001238.SZ,20240112,22.9,22.97,22.21,22.24,22.94,-0.7,-3.0514,193.0,4.36
001238.SZ,20240115,22.07,22.36,22.05,22.18,22.24,-0.06,-0.2698,108.0,2.39
001238.SZ,20240116,22.11,22.28,21.51,21.95,22.18,-0.23,-1.037,168.0,3.66
001238.SZ,20240117,21.86,22.51,21.75,21.76,21.95,-0.19,-0.8656,177.0,3.92
001238.SZ,20240118,21.6,21.77,20.89,21.42,21.76,-0.34,-1.5625,160.0,3.4
001238.SZ,20240119,21.48,23.56,21.3,23.56,21.42,2.14,9.9907,367.0,8.5
001238.SZ,20240122,23.98,25.18,22.9,24.12,23.56,0.56,2.3769,1292.0,30.91
001238.SZ,20240123,23.75,24.3,22.04,24.3,24.12,0.18,0.7463,861.0,20.06
001238.SZ,20240124,23.85,25.3,23.72,25.1,24.3,0.8,3.2922,1113.0,27.32
001238.SZ,20240125,24.81,24.81,23.79,24.57,25.1,-0.53,-2.1116,747.0,18.17
001238.SZ,20240126,24.27,25.18,23.92,24.02,24.57,-0.55,-2.2385,536.0,13.07
001238.SZ,20240129,24.26,24.83,22.64,22.68,24.02,-1.34,-5.5787,500.0,11.96
001238.SZ,20240130,21.98,22.0,20.41,20.41,22.68,-2.27,-10.0088,409.0,8.45
001238.SZ,20240131,18.9,19.3,18.37,18.37,20.41,-2.04,-9.9951,396.0,7.37
001238.SZ,20240201,16.6,17.86,16.6,17.14,18.37,-1.23,-6.6957,387.0,6.63
001238.SZ,20240202,16.96,18.39,16.0,16.89,17.14,-0.25,-1.4586,466.0,8.08
001238.SZ,20240205,16.6,16.6,15.2,15.2,16.89,-1.69,-10.0059,341.0,5.25
001238.SZ,20240206,14.3,15.47,13.68,15.0,15.2,-0.2,-1.3158,356.0,5.12
001238.SZ,20240207,14.7,15.0,13.5,13.5,15.0,-1.5,-10.0,328.0,4.67
001238.SZ,20240208,13.71,14.75,13.7,14.7,13.5,1.2,8.8889,266.0,3.8
001238.SZ,20240219,15.07,15.84,14.93,15.7,14.7,1.0,6.8027,284.0,4.39
001238.SZ,20240220,15.84,16.0,15.31,15.89,15.7,0.19,1.2102,229.0,3.61
001238.SZ,20240221,15.93,16.76,15.6,16.25,15.89,0.36,2.2656,267.0,4.38
001238.SZ,20240222,16.24,16.72,16.14,16.72,16.25,0.47,2.8923,212.0,3.5
