ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002160.SZ,20240102,4.18,4.39,4.11,4.23,4.19,0.04,0.9547,4850.0,20.53
002160.SZ,20240103,4.23,4.29,4.16,4.2,4.23,-0.03,-0.7092,4463.0,18.84
002160.SZ,20240104,4.19,4.2,4.12,4.16,4.2,-0.04,-0.9524,1938.0,8.04
002160.SZ,20240105,4.17,4.2,4.07,4.09,4.16,-0.07,-1.6827,1802.0,7.43
002160.SZ,20240108,4.1,4.11,4.01,4.03,4.09,-0.06,-1.467,1383.0,5.61
002160.SZ,20240109,4.0,4.07,3.98,4.03,4.03,0.0,0.0,1352.0,5.44
002160.SZ,20240110,4.04,4.06,3.98,4.01,4.03,-0.02,-0.4963,1157.0,4.65
002160.SZ,20240111,4.0,4.09,3.99,4.07,4.01,0.06,1.4963,1169.0,4.72
002160.SZ,20240112,4.07,4.15,4.05,4.07,4.07,0.0,0.0,1253.0,5.13
002160.SZ,20240115,4.07,4.07,4.0,4.05,4.07,-0.02,-0.4914,1090.0,4.4
002160.SZ,20240116,4.04,4.06,3.96,4.01,4.05,-0.04,-0.9877,1345.0,5.38
002160.SZ,20240117,4.0,4.03,3.89,3.9,4.01,-0.11,-2.7431,1120.0,4.42
002160.SZ,20240118,3.88,3.88,3.66,3.77,3.9,-0.13,-3.3333,2300.0,8.64
002160.SZ,20240119,3.77,3.79,3.7,3.72,3.77,-0.05,-1.3263,1128.0,4.22
002160.SZ,20240122,3.72,3.75,3.47,3.5,3.72,-0.22,-5.914,1793.0,6.46
002160.SZ,20240123,3.48,3.51,3.38,3.48,3.5,-0.02,-0.5714,1695.0,5.84
002160.SZ,20240124,3.51,3.6,3.43,3.59,3.48,0.11,3.1609,1621.0,5.72
002160.SZ,20240125,3.59,3.7,3.56,3.7,3.59,0.11,3.0641,1230.0,4.48
002160.SZ,20240126,3.7,3.79,3.67,3.73,3.7,0.03,0.8108,1147.0,4.29
