ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603121.SH,20240102,10.8,11.02,10.6,10.71,10.87,-0.16,-1.4719,1750.0,18.91
603121.SH,20240103,11.0,11.25,9.92,10.21,10.71,-0.5,-4.6685,3202.0,32.94
603121.SH,20240104,10.41,10.54,9.99,10.44,10.21,0.23,2.2527,2017.0,20.62
603121.SH,20240105,10.53,10.64,10.08,10.17,10.44,-0.27,-2.5862,1397.0,14.33
603121.SH,20240108,10.28,11.19,9.3,9.4,10.17,-0.77,-7.5713,5725.0,60.05
603121.SH,20240109,9.32,9.66,9.02,9.3,9.4,-0.1,-1.0638,3214.0,30.0
603121.SH,20240110,9.32,9.36,8.97,9.12,9.3,-0.18,-1.9355,1729.0,15.83
603121.SH,20240111,9.13,9.4,9.07,9.4,9.12,0.28,3.0702,1220.0,11.34
603121.SH,20240112,9.41,9.45,9.14,9.25,9.4,-0.15,-1.5957,1210.0,11.2
603121.SH,20240115,9.19,9.31,9.11,9.17,9.25,-0.08,-0.8649,1016.0,9.37
603121.SH,20240116,9.32,9.46,8.82,8.99,9.17,-0.18,-1.9629,1263.0,11.36
603121.SH,20240117,8.97,9.02,8.78,8.8,8.99,-0.19,-2.1135,1003.0,8.91
603121.SH,20240118,8.72,8.81,8.4,8.65,8.8,-0.15,-1.7045,1292.0,11.04
603121.SH,20240119,8.64,8.67,8.42,8.47,8.65,-0.18,-2.0809,872.0,7.43
603121.SH,20240122,8.44,8.58,7.96,8.06,8.47,-0.41,-4.8406,1136.0,9.44
603121.SH,20240123,8.01,8.08,7.75,7.98,8.06,-0.08,-0.9926,811.0,6.41
603121.SH,20240124,8.02,8.19,7.82,8.17,7.98,0.19,2.381,793.0,6.37
603121.SH,20240125,8.14,8.44,8.02,8.39,8.17,0.22,2.6928,1249.0,10.34
603121.SH,20240126,8.35,8.43,8.11,8.16,8.39,-0.23,-2.7414,821.0,6.79
603121.SH,20240129,8.22,8.22,7.79,7.84,8.16,-0.32,-3.9216,714.0,5.66
603121.SH,20240130,7.84,7.96,7.6,7.64,7.84,-0.2,-2.551,491.0,3.82
603121.SH,20240131,7.75,7.8,7.24,7.28,7.64,-0.36,-4.712,659.0,4.91
603121.SH,20240201,7.19,7.3,6.85,7.06,7.28,-0.22,-3.022,847.0,5.97
603121.SH,20240202,6.98,7.2,6.39,6.63,7.06,-0.43,-6.0907,804.0,5.44
603121.SH,20240205,6.5,6.52,5.97,5.97,6.63,-0.66,-9.9548,793.0,4.79
603121.SH,20240206,5.6,6.23,5.37,5.91,5.97,-0.06,-1.005,1735.0,9.9
603121.SH,20240207,5.93,5.98,5.32,5.42,5.91,-0.49,-8.291,1685.0,9.48
603121.SH,20240208,5.54,5.96,5.26,5.88,5.42,0.46,8.4871,2916.0,16.83
603121.SH,20240219,6.02,6.41,5.91,6.3,5.88,0.42,7.1429,2378.0,14.64
603121.SH,20240220,6.23,6.75,6.16,6.73,6.3,0.43,6.8254,1817.0,11.86
603121.SH,20240221,6.74,7.4,6.62,6.89,6.73,0.16,2.3774,3016.0,21.34
603121.SH,20240222,6.84,7.13,6.76,7.04,6.89,0.15,2.1771,1560.0,10.9
603121.SH,20240223,7.01,7.74,7.01,7.74,7.04,0.7,9.9432,2449.0,18.34
603121.SH,20240226,8.12,8.14,7.63,7.89,7.74,0.15,1.938,2713.0,21.47
603121.SH,20240227,7.81,8.06,7.79,8.05,7.89,0.16,2.0279,1548.0,12.33
603121.SH,20240228,8.05,8.12,7.25,7.25,8.05,-0.8,-9.9379,2290.0,17.61
603121.SH,20240229,7.1,7.49,7.01,7.47,7.25,0.22,3.0345,1394.0,10.27
603121.SH,20240301,7.48,7.57,7.33,7.47,7.47,0.0,0.0,1115.0,8.3
603121.SH,20240304,7.55,8.22,7.55,8.22,7.47,0.75,10.0402,4099.0,33.32
603121.SH,20240305,8.15,8.15,7.71,7.89,8.22,-0.33,-4.0146,3692.0,29.2
603121.SH,20240306,7.87,7.99,7.63,7.86,7.89,-0.03,-0.3802,1886.0,14.74
603121.SH,20240307,7.96,8.13,7.69,7.8,7.86,-0.06,-0.7634,1753.0,13.84
603121.SH,20240308,7.71,7.81,7.52,7.78,7.8,-0.02,-0.2564,1403.0,10.78
603121.SH,20240311,7.82,8.09,7.76,7.92,7.78,0.14,1.7995,1437.0,11.39
603121.SH,20240312,7.92,8.38,7.84,8.2,7.92,0.28,3.5354,1923.0,15.65
603121.SH,20240313,8.19,8.6,8.08,8.52,8.2,0.32,3.9024,1869.0,15.43
603121.SH,20240314,8.4,9.1,8.3,8.7,8.52,0.18,2.1127,2758.0,24.07
603121.SH,20240315,8.6,9.5,8.4,9.23,8.7,0.53,6.092,2936.0,26.52
603121.SH,20240318,9.35,9.8,8.96,9.43,9.23,0.2,2.1668,3097.0,28.77
