ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603716.SH,20240102,11.1,11.24,11.04,11.18,11.09,0.09,0.8115,642.0,7.18
603716.SH,20240103,11.11,11.45,11.1,11.15,11.18,-0.03,-0.2683,695.0,7.84
603716.SH,20240104,11.24,11.46,11.1,11.31,11.15,0.16,1.435,663.0,7.48
603716.SH,20240105,11.3,11.31,10.94,11.01,11.31,-0.3,-2.6525,562.0,6.26
603716.SH,20240108,10.94,11.07,10.79,10.8,11.01,-0.21,-1.9074,479.0,5.23
603716.SH,20240109,10.81,11.08,10.79,10.9,10.8,0.1,0.9259,439.0,4.8
603716.SH,20240110,10.85,11.04,10.7,10.86,10.9,-0.04,-0.367,428.0,4.65
603716.SH,20240111,10.79,11.08,10.79,11.08,10.86,0.22,2.0258,429.0,4.7
603716.SH,20240112,11.0,11.05,10.76,10.8,11.08,-0.28,-2.5271,466.0,5.07
603716.SH,20240115,10.8,10.89,10.65,10.82,10.8,0.02,0.1852,306.0,3.31
603716.SH,20240116,10.81,10.88,10.47,10.64,10.82,-0.18,-1.6636,406.0,4.3
603716.SH,20240117,10.6,10.69,10.3,10.33,10.64,-0.31,-2.9135,356.0,3.72
603716.SH,20240118,10.33,10.34,9.98,10.2,10.33,-0.13,-1.2585,468.0,4.72
603716.SH,20240119,10.22,10.31,10.03,10.07,10.2,-0.13,-1.2745,299.0,3.04
603716.SH,20240122,10.14,10.16,9.36,9.39,10.07,-0.68,-6.7527,547.0,5.3
603716.SH,20240123,9.37,9.39,9.08,9.25,9.39,-0.14,-1.4909,555.0,5.12
603716.SH,20240124,9.25,9.68,9.13,9.5,9.25,0.25,2.7027,595.0,5.6
603716.SH,20240125,9.61,9.96,9.56,9.96,9.5,0.46,4.8421,537.0,5.25
603716.SH,20240126,10.06,10.28,9.98,10.04,9.96,0.08,0.8032,514.0,5.21
603716.SH,20240129,10.06,10.13,9.64,9.66,10.04,-0.38,-3.7849,446.0,4.38
603716.SH,20240130,9.56,9.65,9.26,9.27,9.66,-0.39,-4.0373,411.0,3.87
603716.SH,20240131,9.27,9.27,8.6,8.62,9.27,-0.65,-7.0119,719.0,6.39
603716.SH,20240201,8.52,8.6,8.2,8.28,8.62,-0.34,-3.9443,560.0,4.69
603716.SH,20240202,8.48,8.84,7.7,7.92,8.28,-0.36,-4.3478,739.0,6.07
603716.SH,20240205,7.8,7.8,7.13,7.13,7.92,-0.79,-9.9747,533.0,3.85
603716.SH,20240206,6.5,6.97,6.42,6.42,7.13,-0.71,-9.9579,1810.0,11.77
603716.SH,20240207,6.55,6.59,5.78,5.78,6.42,-0.64,-9.9688,1903.0,11.46
603716.SH,20240208,5.68,6.15,5.2,6.08,5.78,0.3,5.1903,1995.0,11.19
603716.SH,20240219,6.07,6.45,6.07,6.44,6.08,0.36,5.9211,1391.0,8.74
603716.SH,20240220,6.43,6.93,6.31,6.77,6.44,0.33,5.1242,1422.0,9.5
603716.SH,20240221,6.7,7.15,6.53,6.96,6.77,0.19,2.8065,1285.0,8.9
603716.SH,20240222,6.95,7.28,6.95,7.28,6.96,0.32,4.5977,941.0,6.69
603716.SH,20240223,7.28,7.73,7.28,7.64,7.28,0.36,4.9451,943.0,7.06
603716.SH,20240226,7.69,8.02,7.52,7.72,7.64,0.08,1.0471,1095.0,8.47
603716.SH,20240227,7.71,8.1,7.6,8.1,7.72,0.38,4.9223,880.0,6.96
603716.SH,20240228,8.22,8.53,7.29,7.29,8.1,-0.81,-10.0,1663.0,13.19
603716.SH,20240229,7.22,7.55,7.06,7.5,7.29,0.21,2.8807,1173.0,8.66
603716.SH,20240301,7.49,7.61,7.41,7.51,7.5,0.01,0.1333,780.0,5.85
603716.SH,20240304,7.5,7.78,7.49,7.67,7.51,0.16,2.1305,909.0,6.93
603716.SH,20240305,7.59,7.63,7.3,7.32,7.67,-0.35,-4.5632,887.0,6.57
603716.SH,20240306,7.35,7.49,7.3,7.42,7.32,0.1,1.3661,670.0,4.96
603716.SH,20240307,7.43,7.5,7.23,7.27,7.42,-0.15,-2.0216,743.0,5.48
603716.SH,20240308,7.36,7.43,7.21,7.31,7.27,0.04,0.5502,511.0,3.74
603716.SH,20240311,7.33,7.52,7.32,7.52,7.31,0.21,2.8728,585.0,4.34
603716.SH,20240312,7.52,7.87,7.52,7.79,7.52,0.27,3.5904,879.0,6.8
603716.SH,20240313,7.75,8.1,7.62,7.85,7.79,0.06,0.7702,1206.0,9.48
603716.SH,20240314,7.85,8.64,7.84,8.11,7.85,0.26,3.3121,2462.0,20.24
603716.SH,20240315,8.15,8.15,7.88,8.01,8.11,-0.1,-1.233,1330.0,10.64
603716.SH,20240318,8.16,8.81,8.16,8.81,8.01,0.8,9.9875,670.0,5.87
603716.SH,20240319,9.69,9.69,9.69,9.69,8.81,0.88,9.9886,265.0,2.57
603716.SH,20240320,10.6,10.66,9.99,10.66,9.69,0.97,10.0103,4780.0,49.52
603716.SH,20240321,10.96,11.59,10.19,10.52,10.66,-0.14,-1.3133,6762.0,74.83
603716.SH,20240322,10.18,10.25,9.47,9.47,10.52,-1.05,-9.981,4368.0,42.95
603716.SH,20240325,9.18,9.69,8.83,8.84,9.47,-0.63,-6.6526,2968.0,27.14
603716.SH,20240326,7.96,8.78,7.96,8.4,8.84,-0.44,-4.9774,3960.0,32.4
603716.SH,20240327,8.12,8.2,7.61,7.61,8.4,-0.79,-9.4048,2600.0,20.63
603716.SH,20240328,7.56,8.22,7.47,8.07,7.61,0.46,6.0447,2690.0,21.45
603716.SH,20240329,8.13,8.23,7.91,8.07,8.07,0.0,0.0,1533.0,12.34
603716.SH,20240401,8.07,8.14,7.94,8.11,8.07,0.04,0.4957,1443.0,11.6
603716.SH,20240402,8.14,8.15,7.81,8.0,8.11,-0.11,-1.3564,1060.0,8.47
603716.SH,20240403,8.05,8.12,7.78,7.85,8.0,-0.15,-1.875,923.0,7.3
603716.SH,20240408,7.77,7.85,7.48,7.5,7.85,-0.35,-4.4586,1063.0,8.05
603716.SH,20240409,7.47,7.74,7.45,7.73,7.5,0.23,3.0667,879.0,6.68
603716.SH,20240410,7.7,7.75,7.45,7.54,7.73,-0.19,-2.458,760.0,5.73
603716.SH,20240411,7.48,7.66,7.43,7.51,7.54,-0.03,-0.3979,586.0,4.43
603716.SH,20240412,7.49,7.58,7.35,7.35,7.51,-0.16,-2.1305,567.0,4.22
603716.SH,20240415,7.21,7.33,6.62,6.62,7.35,-0.73,-9.932,1182.0,8.09
603716.SH,20240416,6.5,6.59,5.97,6.08,6.62,-0.54,-8.1571,1225.0,7.52
603716.SH,20240417,6.19,6.67,6.18,6.66,6.08,0.58,9.5395,1092.0,7.12
603716.SH,20240418,6.65,6.66,6.4,6.49,6.66,-0.17,-2.5526,808.0,5.28
603716.SH,20240419,6.41,6.56,6.29,6.36,6.49,-0.13,-2.0031,593.0,3.79
603716.SH,20240422,6.25,6.43,6.14,6.23,6.36,-0.13,-2.044,564.0,3.54
603716.SH,20240423,6.21,6.49,6.21,6.47,6.23,0.24,3.8523,648.0,4.14
603716.SH,20240424,6.44,6.73,6.41,6.73,6.47,0.26,4.0185,616.0,4.08
603716.SH,20240425,6.72,6.88,6.67,6.83,6.73,0.1,1.4859,628.0,4.28
603716.SH,20240426,6.75,6.87,6.67,6.85,6.83,0.02,0.2928,751.0,5.09
603716.SH,20240429,6.87,7.41,6.87,7.27,6.85,0.42,6.1314,1093.0,7.96
603716.SH,20240430,7.27,7.36,7.15,7.24,7.27,-0.03,-0.4127,896.0,6.49
603716.SH,20240506,7.23,7.53,7.22,7.5,7.24,0.26,3.5912,1023.0,7.59
603716.SH,20240507,7.51,7.74,7.51,7.63,7.5,0.13,1.7333,935.0,7.1
603716.SH,20240508,7.64,8.22,7.63,7.77,7.63,0.14,1.8349,1666.0,13.04
603716.SH,20240509,7.77,7.91,7.59,7.85,7.77,0.08,1.0296,1368.0,10.68
603716.SH,20240510,7.92,8.25,7.79,7.98,7.85,0.13,1.6561,2003.0,16.13
603716.SH,20240513,7.2,7.65,7.19,7.34,7.98,-0.64,-8.0201,1937.0,14.36
603716.SH,20240514,7.2,7.5,7.2,7.4,7.34,0.06,0.8174,1029.0,7.58
603716.SH,20240515,7.41,7.45,7.23,7.29,7.4,-0.11,-1.4865,789.0,5.79
603716.SH,20240516,7.34,7.62,7.29,7.6,7.29,0.31,4.2524,1165.0,8.76
603716.SH,20240517,7.59,7.63,7.3,7.43,7.6,-0.17,-2.2368,919.0,6.81
603716.SH,20240520,7.42,7.43,6.73,7.07,7.43,-0.36,-4.8452,1443.0,10.13
603716.SH,20240521,7.07,7.19,7.0,7.15,7.07,0.08,1.1315,986.0,7.01
603716.SH,20240522,7.2,7.24,7.11,7.16,7.15,0.01,0.1399,650.0,4.65
603716.SH,20240523,7.23,7.23,6.9,6.94,7.16,-0.22,-3.0726,604.0,4.23
603716.SH,20240524,6.95,7.15,6.9,7.05,6.94,0.11,1.585,574.0,4.05
603716.SH,20240527,7.16,7.17,6.75,6.97,7.05,-0.08,-1.1348,693.0,4.78
603716.SH,20240528,6.96,6.97,6.78,6.79,6.97,-0.18,-2.5825,487.0,3.34
603716.SH,20240529,6.79,6.93,6.71,6.75,6.79,-0.04,-0.5891,669.0,4.55
603716.SH,20240530,6.72,6.81,6.62,6.68,6.75,-0.07,-1.037,428.0,2.87
603716.SH,20240531,6.62,6.8,6.6,6.71,6.68,0.03,0.4491,408.0,2.75
603716.SH,20240603,6.67,6.69,6.31,6.39,6.71,-0.32,-4.769,860.0,5.54
603716.SH,20240604,6.44,6.44,5.97,6.06,6.39,-0.33,-5.1643,877.0,5.34
603716.SH,20240605,6.21,6.28,5.96,6.0,6.06,-0.06,-0.9901,845.0,5.1
603716.SH,20240606,5.95,6.01,5.42,5.69,6.0,-0.31,-5.1667,1205.0,6.82
603716.SH,20240607,5.7,6.15,5.7,6.09,5.69,0.4,7.0299,1101.0,6.56
603716.SH,20240611,6.08,6.09,5.8,5.98,6.09,-0.11,-1.8062,737.0,4.37
603716.SH,20240612,5.98,6.38,5.91,6.28,5.98,0.3,5.0167,943.0,5.86
603716.SH,20240613,6.27,6.33,6.07,6.16,6.28,-0.12,-1.9108,595.0,3.67
603716.SH,20240614,6.2,6.22,5.99,6.07,6.16,-0.09,-1.461,554.0,3.35
603716.SH,20240617,6.08,6.09,5.9,5.93,6.07,-0.14,-2.3064,389.0,2.32
603716.SH,20240618,5.93,6.09,5.89,5.98,5.93,0.05,0.8432,525.0,3.15
603716.SH,20240619,6.04,6.09,5.94,6.01,5.98,0.03,0.5017,386.0,2.32
603716.SH,20240620,5.98,6.06,5.82,5.85,6.01,-0.16,-2.6622,434.0,2.57
603716.SH,20240621,5.82,5.99,5.66,5.81,5.85,-0.04,-0.6838,374.0,2.19
603716.SH,20240624,5.71,5.77,5.49,5.53,5.81,-0.28,-4.8193,625.0,3.5
603716.SH,20240625,5.53,5.63,5.47,5.58,5.53,0.05,0.9042,401.0,2.23
603716.SH,20240626,5.58,5.93,5.55,5.89,5.58,0.31,5.5556,563.0,3.23
603716.SH,20240627,5.82,6.0,5.78,5.78,5.89,-0.11,-1.8676,479.0,2.82
603716.SH,20240628,5.77,5.88,5.67,5.68,5.78,-0.1,-1.7301,453.0,2.62
603716.SH,20240701,5.63,5.71,5.45,5.65,5.68,-0.03,-0.5282,475.0,2.64
603716.SH,20240702,5.75,5.93,5.7,5.87,5.65,0.22,3.8938,783.0,4.58
603716.SH,20240703,5.77,5.87,5.71,5.79,5.87,-0.08,-1.3629,421.0,2.44
603716.SH,20240704,5.85,5.85,5.52,5.55,5.79,-0.24,-4.1451,494.0,2.77
603716.SH,20240705,5.56,5.7,5.42,5.69,5.55,0.14,2.5225,438.0,2.45
603716.SH,20240708,5.63,5.68,5.46,5.48,5.69,-0.21,-3.6907,392.0,2.17
603716.SH,20240709,5.45,5.54,5.18,5.48,5.48,0.0,0.0,664.0,3.56
603716.SH,20240710,5.39,5.4,5.2,5.26,5.48,-0.22,-4.0146,667.0,3.52
603716.SH,20240711,5.34,5.55,5.29,5.53,5.26,0.27,5.1331,739.0,4.02
603716.SH,20240712,5.61,5.94,5.58,5.63,5.53,0.1,1.8083,662.0,3.78
603716.SH,20240715,5.6,5.6,5.38,5.43,5.63,-0.2,-3.5524,492.0,2.68
603716.SH,20240716,5.47,5.47,5.33,5.37,5.43,-0.06,-1.105,334.0,1.8
603716.SH,20240717,5.37,5.45,5.29,5.34,5.37,-0.03,-0.5587,354.0,1.89
603716.SH,20240718,5.28,5.3,5.13,5.27,5.34,-0.07,-1.3109,348.0,1.82
603716.SH,20240719,5.32,5.51,5.26,5.3,5.27,0.03,0.5693,451.0,2.41
603716.SH,20240722,5.26,5.43,5.19,5.38,5.3,0.08,1.5094,490.0,2.6
603716.SH,20240723,5.45,5.92,5.32,5.92,5.38,0.54,10.0372,1094.0,6.19
603716.SH,20240724,6.48,6.51,6.19,6.51,5.92,0.59,9.9662,3918.0,25.23
603716.SH,20240725,5.86,6.38,5.86,6.21,6.51,-0.3,-4.6083,3650.0,21.98
603716.SH,20240726,6.05,6.12,5.79,5.9,6.21,-0.31,-4.9919,3091.0,18.33
603716.SH,20240729,5.79,6.49,5.75,6.49,5.9,0.59,10.0,2674.0,16.51
603716.SH,20240730,6.52,7.14,6.46,7.14,6.49,0.65,10.0154,5669.0,38.62
603716.SH,20240731,6.64,7.25,6.5,6.82,7.14,-0.32,-4.4818,4309.0,29.3
603716.SH,20240801,6.82,7.3,6.63,7.05,6.82,0.23,3.3724,3679.0,25.75
603716.SH,20240802,6.85,7.49,6.69,7.13,7.05,0.08,1.1348,3808.0,27.26
603716.SH,20240805,6.79,6.85,6.42,6.42,7.13,-0.71,-9.9579,2804.0,18.36
603716.SH,20240806,6.39,6.85,6.1,6.74,6.42,0.32,4.9844,3054.0,19.83
603716.SH,20240807,6.61,6.68,6.27,6.33,6.74,-0.41,-6.0831,2156.0,13.8
603716.SH,20240808,6.26,6.96,6.25,6.96,6.33,0.63,9.9526,3188.0,21.47
603716.SH,20240809,7.03,7.16,6.66,6.78,6.96,-0.18,-2.5862,3493.0,24.07
603716.SH,20240812,6.62,7.23,6.6,7.18,6.78,0.4,5.8997,3551.0,24.92
603716.SH,20240813,6.99,7.15,6.66,7.01,7.18,-0.17,-2.3677,2497.0,17.06
603716.SH,20240814,6.86,7.0,6.68,6.77,7.01,-0.24,-3.4237,1717.0,11.65
603716.SH,20240815,6.7,6.9,6.61,6.72,6.77,-0.05,-0.7386,1436.0,9.66
603716.SH,20240816,6.68,7.39,6.5,7.01,6.72,0.29,4.3155,3325.0,23.4
603716.SH,20240819,7.0,7.3,6.9,7.15,7.01,0.14,1.9971,2797.0,19.79
603716.SH,20240820,7.15,7.65,6.95,7.44,7.15,0.29,4.0559,3413.0,25.3
603716.SH,20240821,7.4,7.4,6.93,7.18,7.44,-0.26,-3.4946,2332.0,16.65
603716.SH,20240822,7.1,7.89,7.06,7.08,7.18,-0.1,-1.3928,3198.0,23.8
603716.SH,20240823,6.71,6.8,6.37,6.37,7.08,-0.71,-10.0282,2758.0,17.98
603716.SH,20240826,6.19,6.25,5.89,5.93,6.37,-0.44,-6.9074,1889.0,11.3
603716.SH,20240827,5.96,6.15,5.93,5.96,5.93,0.03,0.5059,1206.0,7.26
603716.SH,20240828,5.78,6.05,5.72,5.87,5.96,-0.09,-1.5101,1212.0,7.17
603716.SH,20240829,5.87,6.04,5.68,5.93,5.87,0.06,1.0221,1366.0,7.99
603716.SH,20240830,5.9,6.15,5.85,6.0,5.93,0.07,1.1804,1529.0,9.23
603716.SH,20240902,5.99,6.08,5.76,5.77,6.0,-0.23,-3.8333,1172.0,6.9
603716.SH,20240903,5.76,6.01,5.71,5.88,5.77,0.11,1.9064,1029.0,6.04
603716.SH,20240904,5.81,6.14,5.8,5.96,5.88,0.08,1.3605,1317.0,7.89
603716.SH,20240905,5.9,6.09,5.9,6.03,5.96,0.07,1.1745,1176.0,7.05
603716.SH,20240906,6.0,6.04,5.81,5.85,6.03,-0.18,-2.9851,1020.0,6.01
603716.SH,20240909,5.73,6.0,5.73,5.95,5.85,0.1,1.7094,856.0,5.07
603716.SH,20240910,6.0,6.0,5.75,5.88,5.95,-0.07,-1.1765,763.0,4.46
603716.SH,20240911,5.89,5.89,5.75,5.79,5.88,-0.09,-1.5306,518.0,3.0
603716.SH,20240912,5.83,5.91,5.79,5.83,5.79,0.04,0.6908,527.0,3.09
603716.SH,20240913,5.83,5.9,5.72,5.79,5.83,-0.04,-0.6861,592.0,3.45
603716.SH,20240918,5.85,5.86,5.44,5.56,5.79,-0.23,-3.9724,893.0,4.96
603716.SH,20240919,5.56,5.73,5.48,5.68,5.56,0.12,2.1583,678.0,3.83
603716.SH,20240920,5.71,5.75,5.64,5.71,5.68,0.03,0.5282,529.0,3.01
603716.SH,20240923,5.79,6.07,5.76,5.81,5.71,0.1,1.7513,1143.0,6.74
603716.SH,20240924,5.73,5.95,5.72,5.93,5.81,0.12,2.0654,1081.0,6.34
